n,true_sem,c4,exp_sem,abs_bias,rel_bias,MSE_analytical
23,0.20851441405707477,0.9887045452339994,0.20615914892503398,-0.0023552651320407902,-0.011295454766000516,0.0009822134579130937
24,0.20412414523193154,0.9891926749585045,0.20191810924559261,-0.0022060359863389223,-0.010807325041495522,0.0009006104201246257
25,0.2,0.9896403755857031,0.1979280751171406,-0.0020719248828593995,-0.010359624414296997,0.0008287699531437554
26,0.19611613513818404,0.9900524688409104,0.19416526377309673,-0.0019508713650873144,-0.009947531159089609,0.0007651947045453569
27,0.19245008972987526,0.990433039209448,0.1906089272672913,-0.0018411624625839507,-0.009566960790552104,0.000708663762263109
28,0.1889822365046136,0.9907855696217323,0.18724087284361252,-0.001741363661001083,-0.009214430378267701,0.0006581735984476962
29,0.18569533817705186,0.9911130482419842,0.184045072664984,-0.0016502655120678722,-0.008886951758015706,0.0006128932246907443
30,0.18257418583505536,0.9914180532926729,0.18100734390208528,-0.0015668419329700756,-0.008581946707327079,0.0005721297804884766
31,0.1796053020267749,0.9917028210095852,0.17811508468823126,-0.0014902173385436535,-0.008297178990414756,0.0005353018703493433
32,0.17677669529663687,0.9919693005153015,0.17535705478081146,-0.00141964051582541,-0.008030699484698525,0.0005019187177936549
33,0.17407765595569785,0.992219198457235,0.17272319226167684,-0.0013544636940210075,-0.007780801542764993,0.0004715637298645423
34,0.17149858514250882,0.9924540155701331,0.17020445948927926,-0.0012941256532295609,-0.007545984429866821,0.0004438814370509923
35,0.1690308509457033,0.9926750768173587,0.16779271294702955,-0.001238137998673755,-0.007324923182641222,0.00041856703900807596
36,0.16666666666666666,0.9928835563890196,0.16548059273150326,-0.0011860739351634009,-0.007116443610980405,0.0003953579783878003
37,0.1643989873053573,0.9930804985523815,0.16326142827471085,-0.00113755903064644,-0.00691950144761853,0.00037402710527667825
38,0.16222142113076254,0.9932668351357371,0.1611291575577741,-0.0010922635729884445,-0.006733164864262894,0.0003543770981190998
39,0.16012815380508713,0.9934434002632166,0.1590782575939971,-0.001049896211090029,-0.006556599736783293,0.00033623588393760784
40,0.15811388300841897,0.9936109428318858,0.15710368437080566,-0.0010101986376133132,-0.006389057168114225,0.000319452858405711
41,0.15617376188860607,0.9937701371246287,0.15520082076730918,-0.0009729411212968941,-0.006229862875371236,0.0003038957500181125
42,0.1543033499620919,0.9939215918758468,0.15336543122609828,-0.000937918735993637,-0.00607840812415322,0.0002894480059120556
43,0.15249857033260467,0.9940658580468493,0.15159362216859845,-0.000904948164006214,-0.005934141953150713,0.00027600660247212435
44,0.15075567228888181,0.9942034355202115,0.14988180731376544,-0.0008738649751163785,-0.005796564479788571,0.0002634802036267496
45,0.14907119849998599,0.9943347788844612,0.14822667719852517,-0.0008445213014608155,-0.005665221115538927,0.00025178760513505774
46,0.14744195615489714,0.9944603024500938,0.14662517231163247,-0.0008167838432646679,-0.005539697549906247,0.00024085641521331486
47,0.14586499149789456,0.9945803846135084,0.1450744593456221,-0.0007905321522724551,-0.005419615386491596,0.0002306219313400683
48,0.14433756729740646,0.9946953716656337,0.14357191014820714,-0.0007656571491993225,-0.0053046283343662825,0.00022102618059859544
49,0.14285714285714285,0.9948055811259867,0.1421150830179981,-0.000742059839144743,-0.005194418874013201,0.0002120170968985014
50,0.1414213562373095,0.9949113046697325,0.14070170604222462,-0.000719650195084881,-0.005088695330267412,0.00020354781321069827
55,0.13483997249264842,0.995381333866862,0.13421719167830337,-0.0006227808143450531,-0.004618666133137987,0.00016795149575047253
60,0.12909944487358055,0.9957718784529567,0.12855359672899924,-0.0005458481445813068,-0.004228121547043239,0.0001409373849014443
65,0.12403473458920847,0.9961015277498287,0.12355118861835508,-0.0004835459708533857,-0.003898472250171253,0.00011995299231296181
70,0.11952286093343936,0.9963834937664096,0.11909060576181701,-0.0004322551716223477,-0.0036165062335904484,0.00010332874953115555
75,0.11547005383792514,0.9966274243753505,0.11508062234897438,-0.0003894314889507505,-0.0033725756246494893,8.993534999065449e-05
80,0.11180339887498948,0.9968405291973458,0.11145015930060645,-0.00035323957438303244,-0.0031594708026542154,7.898677006635546e-05
85,0.10846522890932808,0.9970283040667047,0.10814290322967429,-0.0003223256796537899,-0.0029716959332952613,6.992225725400637e-05
90,0.10540925533894598,0.99719501168301,0.10511358360921762,-0.0002956717297283584,-0.002804988316989992,6.233307371089008e-05
95,0.10259783520851541,0.9973440090923031,0.10232533629105223,-0.0002724989174631848,-0.0026559909076967337,5.591559805677598e-05
100,0.1,0.9974779760712632,0.09974779760712632,-0.00025220239287368496,-0.0025220239287368496,5.044047857473588e-05
